Statistik_Code,Statistik_Label,Zeit_Code,Zeit_Label,Zeit,1_Merkmal_Code,1_Merkmal_Label,Code,Label,2_Merkmal_Code,2_Merkmal_Label,Code_Monat,Monat,Ankuenfte,Uebernachtungen
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,01,Schleswig-Holstein,MONAT,Monate,05,May,891354,3318785
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,01,Schleswig-Holstein,MONAT,Monate,06,June,1086638,4335688
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,01,Schleswig-Holstein,MONAT,Monate,07,July,1244103,6044743
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,01,Schleswig-Holstein,MONAT,Monate,08,August,1184768,5567222
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,01,Schleswig-Holstein,MONAT,Monate,09,September,875331,3633060
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,01,Schleswig-Holstein,MONAT,Monate,10,October,773129,3138683
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,01,Schleswig-Holstein,MONAT,Monate,11,November,456199,1480784
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,01,Schleswig-Holstein,MONAT,Monate,12,December,460123,1560219
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,16,Thüringen,MONAT,Monate,01,January,207076,551008
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,16,Thüringen,MONAT,Monate,02,February,231015,623855
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,16,Thüringen,MONAT,Monate,03,March,270666,675413
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,16,Thüringen,MONAT,Monate,04,April,313747,816799
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,16,Thüringen,MONAT,Monate,05,May,404456,958927
